#	tipo	vocabulario
#	idioma	es
#	version	1
#	url	voces/
cien	cien	
canciones	canción	
tengo	tener	
que	que	
cantar	cantar	
y	y	
así	así	
mi	mi	
idioma	idioma	
enseñar	enseñar	
para	para	
empezar	empezar	
con	con	
cada	cada	
palabra	palabra	
en	en	
su	su	
lugar	lugar	
una	uno	
canción	canción	
puede	poder	
emocionar	emocionar	
otra	otro	
explicar	explicar	
al	al	
escucharlas	escuchar	
te	te	
divertirán	divertir	
aunque	aunque	
no	no	
todas	todo	
vayan	ir	
a	a	
gustar	gustar	
van	ir	
mostrar	mostrar	
inventar	inventar	
importa	importar	
hacerlo	hacer	
bien	bien	
o	o	
mal	mal	
tener	tener	
uno	uno	
poder	poder	
otro	otro	
escuchar	escuchar	
divertir	divertir	
todo	todo	
ir	ir	
importar	importar	
hacer	hacer	
es	ser	
un	uno	
tipo	tipo	
de	de	
magia	magia	
afecta	afectar	
corazón	corazón	
suena	sonar	
fuerza	fuerza	
llama	llamar	
la	el, la	
atención	atención	
hay	haber	
estallidos	estallido	
ni	ni	
luces	luz	
divinas	divino	
pero	pero	
algo	algo	
mejor	mejor	
mensaje	mensaje	
llega	llegar	
muy	muy	
lejos	lejos	
conexión	conexión	
convence	convencer	
mundo	mundo	
haciéndolo	hacer	
		
ser	ser	
afectar	afectar	
sonar	sonar	
llamar	llamar	
el, la	el, la	
haber	haber	
estallido	estallido	
luz	luz	
divino	divino	
llegar	llegar	
convencer	convencer	
hola	hola	
cómo	cómo	
estás	estar	
yo	yo	
estoy	estar	
si	si	
tú	tú	
aquí	aquí	
feliz	feliz	
verte	ver	
sonreír	sonreír	
estar	estar	
ver	ver	
